emoji,count,positive_%,neutral_%,negative_%
👆,6,66.7,16.7,16.7
🌧,5,80.0,20.0,0.0
🌷,32,68.8,28.1,3.1
🥦,1,100.0,0.0,0.0
🥜,4,50.0,50.0,0.0
🙁,15,13.3,40.0,46.7
🐿,6,33.3,33.3,33.3
🦋,37,45.9,40.5,13.5
🥪,1,100.0,0.0,0.0
🕑,8,12.5,87.5,0.0
🕙,9,22.2,77.8,0.0
🦊,5,40.0,60.0,0.0
🥚,2,0.0,100.0,0.0
🎢,2,50.0,50.0,0.0
🎙,5,60.0,40.0,0.0
✏,6,33.3,66.7,0.0
👁,13,46.2,30.8,23.1
🤴,4,0.0,100.0,0.0
🍪,5,40.0,60.0,0.0
⚔,9,77.8,11.1,11.1
📔,3,33.3,66.7,0.0
🔒,15,40.0,53.3,6.7
🏬,1,100.0,0.0,0.0
❓,13,61.5,15.4,23.1
◻,2,50.0,50.0,0.0
🍌,8,37.5,50.0,12.5
🐦,5,80.0,20.0,0.0
⏩,5,0.0,100.0,0.0
👭,8,25.0,50.0,25.0
🍽,4,50.0,25.0,25.0
💄,14,64.3,35.7,0.0
🏜,1,0.0,100.0,0.0
🏝,7,14.3,85.7,0.0
🏄,11,54.5,36.4,9.1
💉,10,40.0,40.0,20.0
🎸,13,46.2,53.8,0.0
⛳,6,100.0,0.0,0.0
💆,2,100.0,0.0,0.0
🔌,4,25.0,50.0,25.0
💵,9,44.4,22.2,33.3
💌,17,64.7,17.6,17.6
💟,21,66.7,28.6,4.8
📨,2,0.0,100.0,0.0
📦,5,40.0,60.0,0.0
🚚,2,0.0,100.0,0.0
🍋,7,71.4,28.6,0.0
🗽,4,25.0,50.0,25.0
🍫,20,45.0,55.0,0.0
⛺,1,0.0,100.0,0.0
🦈,4,50.0,50.0,0.0
🥂,20,60.0,40.0,0.0
♎,1,100.0,0.0,0.0
🔢,2,0.0,50.0,50.0
🆓,8,12.5,75.0,12.5
⛷,4,75.0,25.0,0.0
🧞,3,0.0,66.7,33.3
🗻,3,33.3,66.7,0.0
🍣,2,0.0,100.0,0.0
🚲,4,25.0,75.0,0.0
🌾,5,80.0,20.0,0.0
😹,26,42.3,42.3,15.4
🛄,1,0.0,100.0,0.0
👖,3,33.3,66.7,0.0
🕳,3,33.3,33.3,33.3
🍊,11,45.5,45.5,9.1
🦇,7,42.9,42.9,14.3
🐓,2,50.0,50.0,0.0
🤡,12,0.0,58.3,41.7
📝,28,42.9,50.0,7.1
🛡,1,100.0,0.0,0.0
🏹,8,50.0,25.0,25.0
👕,3,66.7,33.3,0.0
💷,2,100.0,0.0,0.0
💴,1,100.0,0.0,0.0
💶,3,33.3,33.3,33.3
🎇,6,100.0,0.0,0.0
🎆,9,77.8,22.2,0.0
🤯,10,10.0,20.0,70.0
🥐,1,0.0,100.0,0.0
🍯,13,53.8,38.5,7.7
🤟,18,55.6,38.9,5.6
⛸,3,66.7,33.3,0.0
📮,3,66.7,0.0,33.3
⏪,3,0.0,66.7,33.3
🐼,10,70.0,30.0,0.0
💭,12,41.7,41.7,16.7
👽,14,28.6,57.1,14.3
🌠,10,50.0,40.0,10.0
🧢,3,0.0,33.3,66.7
🏠,4,75.0,25.0,0.0
🏘,7,57.1,42.9,0.0
🏙,3,66.7,33.3,0.0
👰,4,50.0,25.0,25.0
🥒,2,50.0,0.0,50.0
👸,15,26.7,60.0,13.3
☯,3,66.7,33.3,0.0
☮,5,60.0,40.0,0.0
🥃,6,33.3,66.7,0.0
🍾,24,83.3,12.5,4.2
🍷,15,46.7,46.7,6.7
🍹,7,42.9,57.1,0.0
🥋,3,66.7,33.3,0.0
💤,11,54.5,45.5,0.0
🎲,3,100.0,0.0,0.0
🏰,2,100.0,0.0,0.0
🐢,11,72.7,18.2,9.1
🐹,4,0.0,100.0,0.0
🍢,1,0.0,100.0,0.0
🐊,4,0.0,100.0,0.0
👫,5,40.0,60.0,0.0
🐒,3,66.7,33.3,0.0
🐌,2,50.0,50.0,0.0
💁,35,45.7,31.4,22.9
👠,9,77.8,22.2,0.0
👄,9,11.1,66.7,22.2
🌪,5,20.0,40.0,40.0
🔪,10,60.0,40.0,0.0
🏌,9,44.4,44.4,11.1
🖼,3,66.7,33.3,0.0
👔,6,33.3,66.7,0.0
👜,2,0.0,100.0,0.0
🔚,2,50.0,50.0,0.0
👘,1,0.0,100.0,0.0
👒,4,25.0,50.0,25.0
🍉,5,20.0,40.0,40.0
▫,3,33.3,66.7,0.0
🌜,5,60.0,20.0,20.0
🛁,1,0.0,100.0,0.0
😧,11,27.3,27.3,45.5
🛠,1,0.0,100.0,0.0
🐞,5,60.0,40.0,0.0
🤸,5,20.0,60.0,20.0
⚒,3,66.7,33.3,0.0
🥑,5,80.0,20.0,0.0
⤵,15,53.3,46.7,0.0
👾,11,54.5,18.2,27.3
☄,11,45.5,45.5,9.1
🔺,7,57.1,0.0,42.9
🗡,7,14.3,57.1,28.6
🔶,6,100.0,0.0,0.0
🏈,21,66.7,23.8,9.5
🤝,10,30.0,50.0,20.0
↔,1,0.0,100.0,0.0
😟,11,18.2,18.2,63.6
🎹,5,60.0,40.0,0.0
🏭,1,100.0,0.0,0.0
👓,5,60.0,40.0,0.0
🐈,9,55.6,33.3,11.1
🎄,10,100.0,0.0,0.0
📆,8,37.5,37.5,25.0
✉,4,0.0,100.0,0.0
⌚,8,75.0,25.0,0.0
🎎,2,50.0,0.0,50.0
🍐,5,80.0,20.0,0.0
🎃,3,33.3,66.7,0.0
🗺,6,33.3,66.7,0.0
⚜,5,80.0,20.0,0.0
👦,6,50.0,33.3,16.7
➿,1,100.0,0.0,0.0
🚴,2,50.0,50.0,0.0
🐟,3,33.3,66.7,0.0
🛒,2,50.0,50.0,0.0
🗨,4,100.0,0.0,0.0
🤰,4,0.0,50.0,50.0
🙀,4,75.0,25.0,0.0
🎛,1,100.0,0.0,0.0
🧖,2,50.0,0.0,50.0
🎯,23,30.4,47.8,21.7
🐸,9,77.8,22.2,0.0
ℹ,2,50.0,0.0,50.0
🌳,4,100.0,0.0,0.0
🍄,4,50.0,50.0,0.0
⛓,3,66.7,0.0,33.3
🔻,5,40.0,60.0,0.0
😰,14,42.9,21.4,35.7
🚌,3,33.3,66.7,0.0
👂,4,25.0,50.0,25.0
👃,2,50.0,0.0,50.0
🦂,2,50.0,50.0,0.0
◼,2,50.0,50.0,0.0
⬛,2,100.0,0.0,0.0
🛎,4,50.0,50.0,0.0
👙,4,25.0,50.0,25.0
🧚,5,40.0,60.0,0.0
🍂,5,80.0,20.0,0.0
🐋,3,66.7,33.3,0.0
⌛,11,72.7,18.2,9.1
🐆,2,50.0,50.0,0.0
📉,5,20.0,80.0,0.0
🚙,5,80.0,20.0,0.0
🖨,5,20.0,80.0,0.0
☃,10,60.0,40.0,0.0
🍼,6,0.0,100.0,0.0
🛬,9,88.9,11.1,0.0
🍎,7,14.3,85.7,0.0
🛰,3,100.0,0.0,0.0
🔸,11,54.5,36.4,9.1
🎾,4,75.0,25.0,0.0
🔼,2,50.0,50.0,0.0
🎨,17,41.2,52.9,5.9
🏅,3,33.3,33.3,33.3
🐙,12,33.3,66.7,0.0
🚒,2,0.0,100.0,0.0
🕘,2,50.0,50.0,0.0
🅰,2,50.0,50.0,0.0
👬,4,25.0,75.0,0.0
🥥,2,50.0,50.0,0.0
🌨,5,0.0,60.0,40.0
📩,8,25.0,62.5,12.5
🗑,1,0.0,100.0,0.0
🦑,2,0.0,100.0,0.0
👧,6,50.0,50.0,0.0
🕐,2,50.0,50.0,0.0
🥈,5,60.0,40.0,0.0
❕,4,75.0,0.0,25.0
🦅,11,36.4,36.4,27.3
⏸,1,0.0,0.0,100.0
🔆,10,100.0,0.0,0.0
🍜,3,66.7,33.3,0.0
🧀,2,0.0,100.0,0.0
🍏,5,60.0,40.0,0.0
🦎,1,0.0,100.0,0.0
🔂,1,0.0,100.0,0.0
🎻,4,50.0,50.0,0.0
⛩,1,100.0,0.0,0.0
🏮,3,100.0,0.0,0.0
🎐,1,100.0,0.0,0.0
⚛,1,0.0,100.0,0.0
🤲,3,66.7,33.3,0.0
🏎,2,100.0,0.0,0.0
🔲,2,100.0,0.0,0.0
😼,2,50.0,50.0,0.0
🚢,2,0.0,100.0,0.0
💮,4,75.0,0.0,25.0
🖊,2,0.0,50.0,50.0
🤼,2,100.0,0.0,0.0
💏,5,100.0,0.0,0.0
🐜,1,100.0,0.0,0.0
🌤,5,60.0,40.0,0.0
🍒,15,46.7,40.0,13.3
👳,1,0.0,100.0,0.0
🚺,1,0.0,100.0,0.0
🐁,2,100.0,0.0,0.0
📖,7,42.9,42.9,14.3
❇,4,50.0,25.0,25.0
🕹,1,100.0,0.0,0.0
😙,27,66.7,33.3,0.0
🥉,4,50.0,50.0,0.0
🐖,2,0.0,100.0,0.0
😦,6,33.3,50.0,16.7
🥖,1,100.0,0.0,0.0
🐗,5,100.0,0.0,0.0
🦉,2,50.0,50.0,0.0
🧣,2,100.0,0.0,0.0
🚣,1,0.0,100.0,0.0
⚙,2,50.0,0.0,50.0
👯,10,50.0,40.0,10.0
🎿,2,100.0,0.0,0.0
🍧,2,100.0,0.0,0.0
♐,1,100.0,0.0,0.0
🎣,2,100.0,0.0,0.0
🚹,2,50.0,50.0,0.0
📶,6,33.3,50.0,16.7
✖,9,11.1,66.7,22.2
🃏,2,50.0,50.0,0.0
♦,8,75.0,25.0,0.0
🏺,1,100.0,0.0,0.0
⛈,3,33.3,33.3,33.3
🆎,1,100.0,0.0,0.0
🔭,1,100.0,0.0,0.0
🎞,5,0.0,80.0,20.0
👛,2,50.0,50.0,0.0
♠,13,53.8,46.2,0.0
😿,2,50.0,50.0,0.0
🖇,1,0.0,100.0,0.0
📑,1,0.0,100.0,0.0
📁,2,0.0,100.0,0.0
📗,2,0.0,100.0,0.0
📂,1,0.0,100.0,0.0
📏,2,0.0,100.0,0.0
🎒,5,40.0,60.0,0.0
📕,2,0.0,100.0,0.0
📃,2,0.0,100.0,0.0
📐,2,0.0,100.0,0.0
📄,2,0.0,100.0,0.0
🈂,1,0.0,100.0,0.0
🅿,2,0.0,50.0,50.0
🚾,1,0.0,100.0,0.0
♿,1,0.0,100.0,0.0
🈳,1,0.0,100.0,0.0
📓,3,0.0,100.0,0.0
🔟,6,16.7,66.7,16.7
🍳,2,50.0,50.0,0.0
🌛,4,0.0,100.0,0.0
🕶,4,25.0,50.0,25.0
🆕,9,11.1,55.6,33.3
👿,3,33.3,66.7,0.0
👪,2,100.0,0.0,0.0
🏔,4,25.0,75.0,0.0
🏂,1,0.0,100.0,0.0
🍥,2,100.0,0.0,0.0
🤚,4,50.0,25.0,25.0
👴,4,75.0,25.0,0.0
👵,3,100.0,0.0,0.0
🏫,3,66.7,33.3,0.0
🌄,1,100.0,0.0,0.0
🚑,4,25.0,75.0,0.0
🚓,1,0.0,0.0,100.0
👟,3,0.0,100.0,0.0
🥛,2,0.0,50.0,50.0
👺,1,100.0,0.0,0.0
🐘,8,37.5,37.5,25.0
◽,1,0.0,0.0,100.0
📬,1,0.0,100.0,0.0
🤛,3,100.0,0.0,0.0
🤜,3,100.0,0.0,0.0
🚯,2,50.0,50.0,0.0
🐬,6,16.7,83.3,0.0
🖖,3,66.7,0.0,33.3
🤾,1,0.0,100.0,0.0
🗞,3,0.0,66.7,33.3
📼,1,0.0,100.0,0.0
🚪,1,100.0,0.0,0.0
💲,4,75.0,25.0,0.0
🔎,2,50.0,50.0,0.0
🏇,3,33.3,66.7,0.0
🏐,4,75.0,25.0,0.0
⬜,2,50.0,50.0,0.0
🏦,3,33.3,33.3,33.3
🕯,1,0.0,0.0,100.0
🍦,3,33.3,66.7,0.0
🕸,5,40.0,0.0,60.0
⛅,7,57.1,42.9,0.0
🔰,2,100.0,0.0,0.0
🐤,2,100.0,0.0,0.0
🧜,2,50.0,50.0,0.0
💳,2,0.0,0.0,100.0
🏸,1,100.0,0.0,0.0
🥅,2,100.0,0.0,0.0
🌋,1,0.0,100.0,0.0
🔇,1,0.0,100.0,0.0
📵,2,50.0,50.0,0.0
📴,2,0.0,100.0,0.0
🎷,5,60.0,40.0,0.0
🈺,1,100.0,0.0,0.0
🔽,5,20.0,20.0,60.0
🐛,2,50.0,50.0,0.0
🅾,3,0.0,100.0,0.0
🌶,8,37.5,50.0,12.5
🐠,5,60.0,40.0,0.0
⚓,3,33.3,66.7,0.0
🙍,1,0.0,0.0,100.0
🍗,5,80.0,20.0,0.0
🔈,2,0.0,100.0,0.0
🔧,1,100.0,0.0,0.0
🍡,5,20.0,80.0,0.0
⏯,4,50.0,25.0,25.0
🍬,7,42.9,57.1,0.0
🏖,4,75.0,25.0,0.0
✒,1,100.0,0.0,0.0
🌥,6,83.3,16.7,0.0
🗝,2,100.0,0.0,0.0
🐏,2,50.0,50.0,0.0
📡,1,0.0,100.0,0.0
⚕,2,50.0,50.0,0.0
🔳,1,100.0,0.0,0.0
🎏,1,0.0,100.0,0.0
🎳,2,0.0,100.0,0.0
🆙,3,33.3,33.3,33.3
👡,1,0.0,100.0,0.0
🚬,5,80.0,20.0,0.0
🕕,6,83.3,16.7,0.0
🆔,2,0.0,100.0,0.0
🐩,1,0.0,0.0,100.0
⏭,2,0.0,50.0,50.0
🍍,2,50.0,50.0,0.0
🥝,2,50.0,50.0,0.0
🎺,4,50.0,50.0,0.0
🥁,3,100.0,0.0,0.0
📯,1,100.0,0.0,0.0
🥗,2,100.0,0.0,0.0
✳,2,0.0,50.0,50.0
🛀,1,0.0,0.0,100.0
🐚,2,100.0,0.0,0.0
☣,4,25.0,50.0,25.0
💬,4,75.0,25.0,0.0
🧘,1,0.0,100.0,0.0
🗒,1,0.0,100.0,0.0
🎗,2,50.0,50.0,0.0
🔅,3,100.0,0.0,0.0
✝,4,50.0,50.0,0.0
⛵,2,50.0,50.0,0.0
📛,2,0.0,50.0,50.0
🚩,2,50.0,50.0,0.0
❔,2,0.0,100.0,0.0
🎫,1,0.0,100.0,0.0
⚰,4,25.0,50.0,25.0
💹,1,0.0,100.0,0.0
🌫,1,0.0,100.0,0.0
🛌,1,0.0,100.0,0.0
🥔,1,100.0,0.0,0.0
🚃,1,0.0,100.0,0.0
🚋,1,0.0,100.0,0.0
⚱,1,100.0,0.0,0.0
🚛,2,50.0,50.0,0.0
🏛,1,0.0,0.0,100.0
🕓,1,0.0,100.0,0.0
✴,3,33.3,66.7,0.0
🍅,2,50.0,50.0,0.0
♓,1,100.0,0.0,0.0
🦃,2,50.0,50.0,0.0
🍩,3,100.0,0.0,0.0
♣,1,0.0,100.0,0.0
🧤,5,40.0,60.0,0.0
🤺,1,0.0,100.0,0.0
🥕,2,100.0,0.0,0.0
🍛,2,50.0,50.0,0.0
🌽,3,100.0,0.0,0.0
🐑,1,100.0,0.0,0.0
💇,4,0.0,50.0,50.0
🚕,1,0.0,0.0,100.0
🏥,2,0.0,100.0,0.0
🤵,1,0.0,100.0,0.0
💠,2,50.0,50.0,0.0
🐵,3,66.7,33.3,0.0
🖱,1,0.0,0.0,100.0
〰,1,100.0,0.0,0.0
⛽,1,100.0,0.0,0.0
🎚,1,100.0,0.0,0.0
🔙,4,25.0,50.0,25.0
🚽,2,50.0,50.0,0.0
🚁,1,0.0,0.0,100.0
🐳,3,33.3,33.3,33.3
🎪,1,0.0,100.0,0.0
🗼,1,0.0,0.0,100.0
🏚,1,0.0,0.0,100.0
📒,2,50.0,50.0,0.0
🏢,1,100.0,0.0,0.0
🕝,1,100.0,0.0,0.0
🔖,1,0.0,100.0,0.0
🍮,1,0.0,100.0,0.0
🌇,1,0.0,0.0,100.0
💽,2,100.0,0.0,0.0
🚔,1,0.0,100.0,0.0
❎,1,100.0,0.0,0.0
🎴,1,100.0,0.0,0.0
🎡,3,0.0,100.0,0.0
💒,1,0.0,0.0,100.0
🧛,2,50.0,50.0,0.0
🛩,1,100.0,0.0,0.0
🎖,1,0.0,100.0,0.0
🍝,2,50.0,50.0,0.0
🥙,1,100.0,0.0,0.0
🔍,1,100.0,0.0,0.0
⛰,2,0.0,50.0,50.0
🐂,2,50.0,50.0,0.0
🚜,1,0.0,100.0,0.0
⛱,1,0.0,100.0,0.0
🍨,1,100.0,0.0,0.0
🚭,1,100.0,0.0,0.0
🍘,1,100.0,0.0,0.0
😾,1,0.0,100.0,0.0
◾,1,0.0,100.0,0.0
☦,1,0.0,100.0,0.0
🍈,1,100.0,0.0,0.0
🏕,1,0.0,100.0,0.0
🧙,1,100.0,0.0,0.0
☢,1,100.0,0.0,0.0
🏞,1,100.0,0.0,0.0
🎦,2,0.0,100.0,0.0
🌭,1,0.0,100.0,0.0
👷,1,0.0,100.0,0.0
✡,1,100.0,0.0,0.0
🎠,1,0.0,100.0,0.0
🚟,1,0.0,100.0,0.0
🍞,1,0.0,100.0,0.0
